Description;Channel;SecondDescription;"Start time";"AMR";"AMR_perc";"RCH";"RCH_perc";"SHR_perc";GroupID
"PROMO";"Animal Planet HD";" ";"03:03:11";0;0,000 %;0;0,000 %;0,000 %;1
"MR. BLOOM'S NURSERY";"BBC CBeebies";" ";"03:04:32";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CBS Reality [Zone Reality]";" ";"03:04:45";0;0,000 %;0;0,000 %;0,000 %;1
"INSIDE MOVIES /MAG.FILM.USA/";"13 Ulica [13th Street Universal]";"INSIDE MOVIES";"03:04:53";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"AXN Spin";" ";"03:05:42";0;0,000 %;0;0,000 %;0,000 %;1
"PRZEKRACZAJAC GRANICE /SER.FRA./";"AXN";"CROSSING LINES 304 - RECOIL";"03:05:44";15 987;0,335 %;26 036;0,546 %;10,809 %;1
"PROMO";"BBC Lifestyle";" ";"03:05:46";5 701;0,120 %;5 701;0,120 %;2,940 %;1
"PROMO";"BBC Brit [BBC Entertainment]";" ";"03:06:36";0;0,000 %;0;0,000 %;0,000 %;1
"TOP GEAR";"BBC Brit [BBC Entertainment]";" ";"03:06:46";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"03:09:37";0;0,000 %;0;0,000 %;0,000 %;1
"AUTOPROMOCJA";"Canal+ Sport [Canal+ Niebieski]";" ";"03:09:49";0;0,000 %;0;0,000 %;0,000 %;1
"KOMISARZ REX /SER AUSTR./";"AXN Spin";" ";"03:10:24";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CBS Europa [Zone Europa]";" ";"03:10:36";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"BBC Earth [BBC Knowledge]";" ";"03:10:50";0;0,000 %;0;0,000 %;0,000 %;1
"INSIDE MOVIES /MAG.FILM.USA/";"13 Ulica [13th Street Universal]";"INSIDE MOVIES";"03:10:58";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"Animal Planet HD";" ";"03:11:11";0;0,000 %;0;0,000 %;0,000 %;1
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"03:11:17";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CBS Drama [Club TV]";" ";"03:12:17";0;0,000 %;0;0,000 %;0,000 %;1
"NA HACZYKU /SER.DOK.USA/";"Animal Planet HD";"OFF THE HOOK";"03:12:48";0;0,000 %;0;0,000 %;0,000 %;1
"EKSTRAKLASA /WSTEP DO MECZU/ ";"Canal+ Sport [Canal+ Niebieski]";" ";"03:13:58";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CBS Action [Zone Romantica]";" ";"03:14:57";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"13 Ulica [13th Street Universal]";" ";"03:15:03";0;0,000 %;0;0,000 %;0,000 %;1
"CSI NY - KRYMINALNE ZAGADKI NOWEGO JORKU /SER. SENS. USA/";"13 Ulica [13th Street Universal]";"CSI: NY";"03:15:56";0;0,000 %;0;0,000 %;0,000 %;1
"ALE TYDZIEN /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"03:17:27";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CBS Reality [Zone Reality]";" ";"03:18:44";0;0,000 %;0;0,000 %;0,000 %;1
"KINO MOWI /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"03:19:04";0;0,000 %;0;0,000 %;0,000 %;1
"HOMO NARRANS /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"03:20:29";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"03:20:45";0;0,000 %;0;0,000 %;0,000 %;1
"MEZCZYZNA IDEALNY /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"03:21:14";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"BBC Lifestyle";" ";"03:21:52";0;0,000 %;0;0,000 %;0,000 %;1
"SAFE HOUSE /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"03:21:53";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"Boomerang";" ";"03:21:55";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"BBC Brit [BBC Entertainment]";" ";"03:21:56";0;0,000 %;0;0,000 %;0,000 %;1
"KONKURS";"Ale Kino+ [Ale Kino]";" ";"03:22:32";0;0,000 %;0;0,000 %;0,000 %;1
"WIECZOR Z RUBENEM OSTLUNDEM /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"03:22:42";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"Cartoon Network";" ";"03:23:13";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"BBC CBeebies";" ";"03:23:24";0;0,000 %;0;0,000 %;0,000 %;1
"ELIOT KID /SER. ANIM. FRA.W.BRYT./";"Cartoon Network";" ";"03:23:35";0;0,000 %;0;0,000 %;0,000 %;1
"ZAGADKI KRYMINALNE PANNY FISHER /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"03:23:57";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CBS Drama [Club TV]";" ";"03:24:07";0;0,000 %;0;0,000 %;0,000 %;1
"PROGRAM+";"Ale Kino+ [Ale Kino]";" ";"03:24:27";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"BBC Earth [BBC Knowledge]";" ";"03:24:39";0;0,000 %;0;0,000 %;0,000 %;1
"LITTLE HUMAN PLANET";"BBC CBeebies";" ";"03:24:48";0;0,000 %;0;0,000 %;0,000 %;1
"LASY DOLNEGO SLASKA /REP./";"ADVENTURE";" ";"03:25:13";0;0,000 %;0;0,000 %;0,000 %;1
"OSTATNIA PIESN TORREADORA /FILM KROTKOM.POL./";"Ale Kino+ [Ale Kino]";" ";"03:25:24";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"Animal Planet HD";" ";"03:25:36";0;0,000 %;0;0,000 %;0,000 %;1
"THE MAN EATING TIGERS OF SUMATRA";"BBC Earth [BBC Knowledge]";" ";"03:25:49";0;0,000 %;0;0,000 %;0,000 %;1
"AUTOPROMOCJA";"Canal+ Family [Canal+ Weekend]";" ";"03:25:59";8 880;0,186 %;8 880;0,186 %;6,202 %;1
"AUTOPROMOCJA";"Canal+ Seriale [Canal+ Film 2]";" ";"03:27:24";0;0,000 %;0;0,000 %;0,000 %;1
"AUTOPROMOCJA";"Canal+ Sport2";" ";"03:27:55";0;0,000 %;0;0,000 %;0,000 %;1
"TV LOGO";"Canal+ Family [Canal+ Weekend]";" ";"03:27:56";8 880;0,186 %;8 880;0,186 %;6,202 %;1
"AUTOPROMOCJA";"Canal+ Family [Canal+ Weekend]";" ";"03:28:11";8 880;0,186 %;8 880;0,186 %;6,202 %;1
"PROMO";"CBS Action [Zone Romantica]";" ";"03:28:29";0;0,000 %;0;0,000 %;0,000 %;1
"BLOK SPONSORSKI";"Canal+ Sport [Canal+ Niebieski]";"NICE";"03:28:30";0;0,000 %;0;0,000 %;0,000 %;1
"EKSTRAKLASA /MECZ PILKI NOZNEJ/";"Canal+ Sport [Canal+ Niebieski]";"GORNIK LECZNA - CRACOVIA KRAKOW";"03:28:38";0;0,000 %;0;0,000 %;0,000 %;1
