Description;Channel;SecondDescription;"Start time";"AMR";"AMR_perc";"RCH";"RCH_perc";"SHR_perc"
"PROMO";"BBC Brit [BBC Entertainment]";" ";"03:06:36";0;0,000 %;0;0,000 %;0,000 %
"TOP GEAR";"BBC Brit [BBC Entertainment]";" ";"03:06:46";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"03:09:37";0;0,000 %;0;0,000 %;0,000 %
"AUTOPROMOCJA";"Canal+ Sport [Canal+ Niebieski]";" ";"03:09:49";0;0,000 %;0;0,000 %;0,000 %
"KOMISARZ REX /SER AUSTR./";"AXN Spin";" ";"03:10:24";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Europa [Zone Europa]";" ";"03:10:36";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Earth [BBC Knowledge]";" ";"03:10:50";0;0,000 %;0;0,000 %;0,000 %
"INSIDE MOVIES /MAG.FILM.USA/";"13 Ulica [13th Street Universal]";"INSIDE MOVIES";"03:10:58";5 301;0,015 %;11 570;0,032 %;0,440 %
"PROMO";"Animal Planet HD";" ";"03:11:11";0;0,000 %;0;0,000 %;0,000 %
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"03:11:17";9 779;0,027 %;9 779;0,027 %;0,812 %
"PROMO";"CBS Drama [Club TV]";" ";"03:12:17";0;0,000 %;0;0,000 %;0,000 %
"NA HACZYKU /SER.DOK.USA/";"Animal Planet HD";"OFF THE HOOK";"03:12:48";0;0,000 %;0;0,000 %;0,000 %
"EKSTRAKLASA /WSTEP DO MECZU/ ";"Canal+ Sport [Canal+ Niebieski]";" ";"03:13:58";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Action [Zone Romantica]";" ";"03:14:57";4 305;0,012 %;4 305;0,012 %;0,360 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"03:15:03";3 177;0,009 %;3 177;0,009 %;0,265 %
"CSI NY - KRYMINALNE ZAGADKI NOWEGO JORKU /SER. SENS. USA/";"13 Ulica [13th Street Universal]";"CSI: NY";"03:15:56";7 885;0,022 %;11 570;0,032 %;0,745 %
"ALE TYDZIEN /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"03:17:27";4 780;0,013 %;7 727;0,022 %;0,399 %
"PROMO";"CBS Reality [Zone Reality]";" ";"03:18:44";0;0,000 %;0;0,000 %;0,000 %
"KINO MOWI /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"03:19:04";0;0,000 %;0;0,000 %;0,000 %
"HOMO NARRANS /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"03:20:29";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"03:20:45";0;0,000 %;0;0,000 %;0,000 %
