Description;Channel;SecondDescription;"Start time";"AMR";"AMR_perc";"RCH";"RCH_perc";"SHR_perc"
"PROMO";"Cartoon Network";" ";"12:51:11";33 491;0,094 %;33 491;0,094 %;0,397 %
"MLODZI TYTANI AKCJA /SER.ANIM.USA/";"Cartoon Network";"MINISTERSTWO SMIECHU";"12:51:41";40 882;0,114 %;117 218;0,328 %;0,486 %
"PROMO";"AXN";" ";"12:51:48";22 496;0,063 %;22 496;0,063 %;0,266 %
"PROMO";"Canal+ Sport [Canal+ Niebieski]";" ";"12:52:04";0;0,000 %;0;0,000 %;0,000 %
"ZLAP SPORT /PROG.ROZR./";"Canal+ Sport [Canal+ Niebieski]";" ";"12:52:31";0;0,000 %;0;0,000 %;0,000 %
"AUTOPROMOCJA";"Canal+ Seriale [Canal+ Film 2]";" ";"12:52:41";0;0,000 %;0;0,000 %;0,000 %
"GARFIELD SHORTS /SER.ANIM.FRA.USA/";"Boomerang";" ";"12:52:46";38 708;0,108 %;38 708;0,108 %;0,458 %
"PROMO";"Boomerang";" ";"12:53:14";38 708;0,108 %;38 708;0,108 %;0,457 %
"PROMO";"AXN White [AXN Crime]";" ";"12:53:32";0;0,000 %;0;0,000 %;0,000 %
"KUCHNIA FILMOWA /MAG. FILMOWY/";"Canal+ Seriale [Canal+ Film 2]";" ";"12:53:38";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Action [Zone Romantica]";" ";"12:54:58";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC CBeebies";" ";"12:55:06";3 398;0,010 %;3 398;0,010 %;0,040 %
"ZAKLINACZE KONI /SER.DRA.KAN./";"AXN White [AXN Crime]";"HEARTLAND 515 - BREAKING DOWN AND BUILDING UP";"12:55:29";412;0,001 %;17 794;0,050 %;0,005 %
"PROMO";"4FUN.TV [4fun.tv]";" ";"12:55:58";13 638;0,038 %;13 638;0,038 %;0,160 %
"AUTOPROMOCJA";"Canal+ Sport [Canal+ Niebieski]";" ";"12:56:01";0;0,000 %;0;0,000 %;0,000 %
"BLOK SPONSORSKI";"AXN Black [AXN Sci-Fi]";"PRESIDENT";"12:56:51";0;0,000 %;0;0,000 %;0,000 %
"TV LOGO";"Canal+ Sport [Canal+ Niebieski]";" ";"12:56:57";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"12:56:59";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN Spin";" ";"12:57:07";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"12:57:12";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Action [Zone Romantica]";" ";"12:57:13";678;0,002 %;2 813;0,008 %;0,008 %
"PROMO";"Animal Planet HD";" ";"12:57:18";0;0,000 %;0;0,000 %;0,000 %
"ZA KULISAMI SERIALE /MAG.FILM./";"AXN Black [AXN Sci-Fi]";" ";"12:57:30";0;0,000 %;0;0,000 %;0,000 %
"AUTOPROMOCJA";"Canal+ Seriale [Canal+ Film 2]";" ";"12:58:30";0;0,000 %;0;0,000 %;0,000 %
"AUTOPROMOCJA";"Canal+ Family [Canal+ Weekend]";" ";"12:58:40";0;0,000 %;0;0,000 %;0,000 %
"BLOK SPONSORSKI";"13 Ulica [13th Street Universal]";"WWW.OKACZKA.PL";"12:59:32";12 305;0,034 %;12 305;0,034 %;0,145 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"12:59:40";12 305;0,034 %;12 305;0,034 %;0,146 %
"MISTER MAKER";"BBC CBeebies";" ";"12:59:42";13 086;0,037 %;22 870;0,064 %;0,156 %
"PROMO";"CBS Reality [Zone Reality]";" ";"12:59:43";4 986;0,014 %;11 731;0,033 %;0,059 %
"PROMO";"Animal Planet HD";" ";"12:59:49";7 423;0,021 %;10 825;0,030 %;0,088 %
"PROMO";"CBS Drama [Club TV]";" ";"13:00:01";0;0,000 %;0;0,000 %;0,000 %
"Z ARCHIWUM 997 /SER.DOK.POL./";"CI Polsat [Polsat Crime & Investigation Network]";"Z ARCHIWUM 997 S2 EP.1";"13:00:05";11 246;0,031 %;11 731;0,033 %;0,134 %
"NIE PRZEGAP /ZAPOWIEDZI/";"Canal+ Family [Canal+ Weekend]";" ";"13:00:07";0;0,000 %;0;0,000 %;0,000 %
"HALLOWEEN WEEKEND /TELEDYSKI/";"4FUN FIT&DANCE [TV.DISCO]";" ";"13:00:08";3 751;0,010 %;49 522;0,139 %;0,045 %
"DOMOWE METAMORFOZY /PROG.DOK.USA/";"CBS Reality [Zone Reality]";"FIX IT & FINISH IT";"13:00:23";12 626;0,035 %;39 318;0,110 %;0,150 %
"NA TROPIE TYGRYSA TASMANSKIEGO /SER.DOK.USA/";"Animal Planet HD";"HUNT FOR THE TASMANIAN TIGER";"13:00:24";12 448;0,035 %;25 389;0,071 %;0,149 %
"BYL SOBIE CHLOPIEC /SER.OBYCZ.USA/";"Canal+ Seriale [Canal+ Film 2]";" ";"13:00:27";0;0,000 %;0;0,000 %;0,000 %
"LIGA + /MAGAZYN PILKARSKI/";"Canal+ Sport [Canal+ Niebieski]";" ";"13:00:29";17 629;0,049 %;58 618;0,164 %;0,210 %
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"13:00:29";0;0,000 %;0;0,000 %;0,000 %
"ZAGINIONA /SER.KRYM.FR./";"13 Ulica [13th Street Universal]";"DISPARUE";"13:00:33";19 942;0,056 %;45 709;0,128 %;0,238 %
"PRZEZNACZENI /SER.SF.USA/";"AXN Black [AXN Sci-Fi]";"STAR-CROSSED 102 - THESE VIOLENT DELIGHTS HAVE VIOLENT ENDS";"13:00:44";146;0,000 %;5 931;0,017 %;0,002 %
"STAR WARS REBELIANCI /SER.ANIM.USA/";"AXN Spin";" ";"13:00:44";17 348;0,049 %;39 578;0,111 %;0,206 %
"BEVERLY HILLS 90210 /SER.USA/";"CBS Drama [Club TV]";"BEVERLY HILLS 90210";"13:00:50";752;0,002 %;21 888;0,061 %;0,009 %
"AGENCI NCIS /SER.SENS.USA/";"CBS Action [Zone Romantica]";"NAVY NCIS";"13:00:53";1 843;0,005 %;2 813;0,008 %;0,022 %
"LIFE BELOW ZERO";"BBC Earth [BBC Knowledge]";" ";"13:01:28";8 459;0,024 %;28 292;0,079 %;0,101 %
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"13:03:51";43 610;0,122 %;52 017;0,146 %;0,514 %
"EWA GOTUJE /PROG.KULINARNY POL./";"ATM Rozrywka";" ";"13:04:31";81 237;0,227 %;191 626;0,536 %;0,972 %
"LASY DOLNEGO SLASKA /REP./";"ADVENTURE";" ";"13:04:37";81;0,000 %;3 110;0,009 %;0,001 %
"PROMO";"CBS Europa [Zone Europa]";" ";"13:07:05";0;0,000 %;0;0,000 %;0,000 %
"TV LOGO";"Canal+ Family [Canal+ Weekend]";" ";"13:07:35";0;0,000 %;0;0,000 %;0,000 %
"AUTOPROMOCJA";"Canal+ Family [Canal+ Weekend]";" ";"13:07:57";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Boomerang";" ";"13:08:03";37 333;0,104 %;37 333;0,104 %;0,445 %
"PROMO";"AXN White [AXN Crime]";" ";"13:09:24";0;0,000 %;0;0,000 %;0,000 %
"SERCE I DUSZE /FILM USA/";"Canal+ Family [Canal+ Weekend]";" ";"13:10:23";43;0,000 %;4 285;0,012 %;0,001 %
"PROMO";"BBC Earth [BBC Knowledge]";" ";"13:10:28";12 790;0,036 %;12 790;0,036 %;0,152 %
"PROMO";"CBS Action [Zone Romantica]";" ";"13:10:29";2 813;0,008 %;2 813;0,008 %;0,034 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"13:10:35";11 731;0,033 %;11 731;0,033 %;0,140 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"13:10:51";22 931;0,064 %;22 931;0,064 %;0,273 %
"TV LOGO";"BBC Lifestyle";" ";"13:11:24";0;0,000 %;0;0,000 %;0,000 %
"BLOK SPONSORSKI";"BBC Lifestyle";"TREFL";"13:11:34";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Europa [Zone Europa]";" ";"13:11:40";0;0,000 %;0;0,000 %;0,000 %
"EXTREME MAKEOVER HOME EDITION";"BBC Lifestyle";" ";"13:11:42";107;0,000 %;4 394;0,012 %;0,001 %
"BLOK SPONSORSKI";"CBS Europa [Zone Europa]";"BALCERZAK";"13:12:45";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Reality [Zone Reality]";" ";"13:12:54";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Boomerang";" ";"13:13:06";25 608;0,072 %;25 608;0,072 %;0,307 %
"PROMO";"Boomerang";" ";"13:13:22";25 608;0,072 %;25 608;0,072 %;0,307 %
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"13:13:38";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN Spin";" ";"13:13:38";34 207;0,096 %;34 207;0,096 %;0,410 %
"PROMO";"CBS Action [Zone Romantica]";" ";"13:13:44";2 813;0,008 %;2 813;0,008 %;0,034 %
"PROMO";"BBC Earth [BBC Knowledge]";" ";"13:14:09";12 790;0,036 %;12 790;0,036 %;0,153 %
"PROMO";"Animal Planet HD";" ";"13:14:11";10 825;0,030 %;10 825;0,030 %;0,130 %
"TOM I JERRY SHOW /SER.ANIM USA/";"Boomerang";" ";"13:14:27";25 910;0,073 %;31 918;0,089 %;0,310 %
"PROMO";"CBS Drama [Club TV]";" ";"13:14:42";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Brit [BBC Entertainment]";" ";"13:14:44";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"13:15:00";11 731;0,033 %;11 731;0,033 %;0,140 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"13:15:32";22 931;0,064 %;22 931;0,064 %;0,275 %
"PROMO";"4FUN.TV [4fun.tv]";" ";"13:15:59";24 068;0,067 %;24 068;0,067 %;0,289 %
"PROMO";"CBS Reality [Zone Reality]";" ";"13:16:09";30 569;0,086 %;30 569;0,086 %;0,366 %
"PROMO";"Animal Planet HD";" ";"13:16:32";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Cartoon Network";" ";"13:16:36";20 887;0,058 %;20 887;0,058 %;0,250 %
"PROMO";"CBS Drama [Club TV]";" ";"13:18:02";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN";" ";"13:18:29";28 649;0,080 %;28 649;0,080 %;0,343 %
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"13:18:47";72 204;0,202 %;76 230;0,213 %;0,857 %
"PROMO";"BBC CBeebies";" ";"13:19:06";22 870;0,064 %;22 870;0,064 %;0,271 %
"PROMO";"BBC HD";" ";"13:19:45";0;0,000 %;0;0,000 %;0,000 %
"NEW TRICKS";"BBC HD";" ";"13:19:58";0;0,000 %;0;0,000 %;0,000 %
"AUTOPROMOCJA";"Canal+ Seriale [Canal+ Film 2]";" ";"13:20:44";0;0,000 %;0;0,000 %;0,000 %
"NINA AND THE NEURONS";"BBC CBeebies";" ";"13:21:52";26 268;0,074 %;26 268;0,074 %;0,315 %
"BLOK SPONSORSKI";"ADVENTURE";"AJ GROUP + KONGER";"13:23:22";0;0,000 %;0;0,000 %;0,000 %
"WEDROWKI Z WEDKA /MAG.WED.POL./";"ADVENTURE";" ";"13:23:38";1 487;0,004 %;3 110;0,009 %;0,018 %
"PROMO";"CBS Action [Zone Romantica]";" ";"13:23:56";321;0,001 %;2 813;0,008 %;0,004 %
"KUCHNIA FILMOWA /MAG. FILMOWY/";"Canal+ Seriale [Canal+ Film 2]";" ";"13:24:26";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Animal Planet HD";" ";"13:25:34";9 382;0,026 %;10 825;0,030 %;0,113 %
"PROMO";"CBS Reality [Zone Reality]";" ";"13:25:42";38 443;0,108 %;39 318;0,110 %;0,462 %
"PROMO";"AXN White [AXN Crime]";" ";"13:26:16";0;0,000 %;0;0,000 %;0,000 %
"BLOK SPONSORSKI";"BBC Lifestyle";"TREFL";"13:26:25";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Lifestyle";" ";"13:26:33";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"13:26:53";11 731;0,033 %;11 731;0,033 %;0,141 %
"PROMO";"CBS Reality [Zone Reality]";" ";"13:27:57";30 569;0,086 %;30 569;0,086 %;0,368 %
"AUTOPROMOCJA";"Canal+ Seriale [Canal+ Film 2]";" ";"13:28:09";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Action [Zone Romantica]";" ";"13:28:11";2 813;0,008 %;2 813;0,008 %;0,034 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"13:28:23";17 434;0,049 %;17 434;0,049 %;0,210 %
"AUTOPROMOCJA";"Canal+ 1 [Canal+ Family 2]";" ";"13:28:27";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"13:28:52";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Drama [Club TV]";" ";"13:29:05";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN Spin";" ";"13:29:21";34 207;0,096 %;34 207;0,096 %;0,411 %
"BYL SOBIE CHLOPIEC /SER.OBYCZ.USA/";"Canal+ Seriale [Canal+ Film 2]";" ";"13:29:36";0;0,000 %;0;0,000 %;0,000 %
"AUTOPROMOCJA";"Canal+ Discovery";" ";"13:29:45";2 799;0,008 %;3 934;0,011 %;0,034 %
"PROMO";"Animal Planet HD";" ";"13:30:05";7 186;0,020 %;7 186;0,020 %;0,086 %
"DOMOWE METAMORFOZY /PROG.DOK.USA/";"CBS Reality [Zone Reality]";"FIX IT & FINISH IT";"13:30:21";18 177;0,051 %;30 569;0,086 %;0,218 %
"PROMO";"BBC Brit [BBC Entertainment]";" ";"13:30:29";0;0,000 %;0;0,000 %;0,000 %
"STAR WARS REBELIANCI /SER.ANIM.USA/";"AXN Spin";" ";"13:30:31";34 207;0,096 %;34 207;0,096 %;0,410 %
"4 RAZY SZTUKA /SER.DOK.W.BRYT./";"Canal+ Discovery";" ";"13:30:37";32;0,000 %;3 934;0,011 %;0,000 %
"HOW TO WIN IN THE DEN ";"BBC Brit [BBC Entertainment]";" ";"13:30:39";1 222;0,003 %;7 929;0,022 %;0,015 %
"KUCHNIA FILMOWA /MAG. FILMOWY/";"Canal+ 1 [Canal+ Family 2]";" ";"13:30:53";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"13:30:54";17 434;0,049 %;17 434;0,049 %;0,210 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"13:31:13";11 731;0,033 %;11 731;0,033 %;0,142 %
"POLSKIE PRYWATNE ZBRODNIE /PROG.DOK.POL./";"CI Polsat [Polsat Crime & Investigation Network]";"PRIVATE CRIMES S1 EP.1";"13:31:49";4 069;0,011 %;32 160;0,090 %;0,049 %
"AUTOPROMOCJA";"Canal+ 1 [Canal+ Family 2]";" ";"13:32:47";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Drama [Club TV]";" ";"13:33:20";0;0,000 %;0;0,000 %;0,000 %
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"13:33:30";73 568;0,206 %;84 159;0,236 %;0,885 %
"PROMO";"BBC Earth [BBC Knowledge]";" ";"13:33:48";3 586;0,010 %;3 586;0,010 %;0,043 %
"BLOK SPONSORSKI";"ATM Rozrywka";"FEBRISAN";"13:34:09";55 251;0,155 %;55 251;0,155 %;0,667 %
"EWA GOTUJE /PROG.KULINARNY POL./";"ATM Rozrywka";" ";"13:34:18";83 056;0,232 %;224 645;0,629 %;0,989 %
"PRZEBOJE 4FUN /TELEDYSKI/";"4FUN.TV [4fun.tv]";" ";"13:34:45";20 879;0,058 %;40 716;0,114 %;0,249 %
"CHOLERYK Z BROOKLYNU /FILM KOM.USA/";"Canal+ 1 [Canal+ Family 2]";" ";"13:34:59";3 870;0,011 %;13 971;0,039 %;0,046 %
"PROMO";"Boomerang";" ";"13:34:59";31 918;0,089 %;31 918;0,089 %;0,384 %
"PROMO";"BBC CBeebies";" ";"13:36:11";26 268;0,074 %;26 268;0,074 %;0,315 %
"NINA AND THE NEURONS";"BBC CBeebies";" ";"13:37:14";26 268;0,074 %;26 268;0,074 %;0,314 %
"PROMO";"Animal Planet HD";" ";"13:38:58";7 908;0,022 %;18 012;0,050 %;0,094 %
"PROMO";"Cartoon Network";" ";"13:39:34";35 137;0,098 %;35 137;0,098 %;0,419 %
"GARFIELD SHORTS /SER.ANIM.FRA.USA/";"Boomerang";" ";"13:39:48";29 704;0,083 %;31 918;0,089 %;0,355 %
"PROMO";"Boomerang";" ";"13:40:15";27 933;0,078 %;27 933;0,078 %;0,334 %
"NOWY SCOOBY-DOO /SER.ANIM.USA/";"Boomerang";" ";"13:40:28";13 151;0,037 %;27 933;0,078 %;0,156 %
"PROMO";"CBS Action [Zone Romantica]";" ";"13:41:27";2 652;0,007 %;2 813;0,008 %;0,032 %
"PROMO";"AXN White [AXN Crime]";" ";"13:41:34";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Earth [BBC Knowledge]";" ";"13:42:05";3 586;0,010 %;3 586;0,010 %;0,043 %
"BLOK SPONSORSKI";"CBS Europa [Zone Europa]";"CINKCIARZ.PL";"13:42:17";0;0,000 %;0;0,000 %;0,000 %
"BLOK SPONSORSKI";"BBC Lifestyle";"TREFL";"13:42:17";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Lifestyle";" ";"13:42:25";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN Spin";" ";"13:42:50";34 207;0,096 %;34 207;0,096 %;0,409 %
"PROMO";"CBS Reality [Zone Reality]";" ";"13:42:55";4 367;0,012 %;30 569;0,086 %;0,052 %
"PROMO";"CBS Drama [Club TV]";" ";"13:43:14";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"13:43:23";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Animal Planet HD";" ";"13:43:34";18 012;0,050 %;18 012;0,050 %;0,216 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"13:43:46";13 162;0,037 %;16 460;0,046 %;0,158 %
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"13:44:32";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Europa [Zone Europa]";" ";"13:45:05";4 164;0,012 %;15 617;0,044 %;0,050 %
"PROMO";"CBS Action [Zone Romantica]";" ";"13:45:42";0;0,000 %;0;0,000 %;0,000 %
"BLOK SPONSORSKI";"CBS Europa [Zone Europa]";"BALCERZAK";"13:46:20";15 617;0,044 %;15 617;0,044 %;0,187 %
"SZTUKA ROZSTANIA /FILM KOM.USA/";"CBS Europa [Zone Europa]";"GET OVER IT";"13:46:28";2 868;0,008 %;44 572;0,125 %;0,034 %
"BLOK SPONSORSKI";"ADVENTURE";"KONGER + AJ GROUP";"13:46:38";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN";" ";"13:46:40";60 059;0,168 %;69 385;0,194 %;0,719 %
"PROMO";"BBC Earth [BBC Knowledge]";" ";"13:46:46";3 586;0,010 %;3 586;0,010 %;0,043 %
"PROMO";"4FUN HITS [mjuzik.tv]";" ";"13:46:50";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Reality [Zone Reality]";" ";"13:47:10";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Brit [BBC Entertainment]";" ";"13:47:17";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"13:47:27";24 429;0,068 %;24 429;0,068 %;0,292 %
"PROMO";"CBS Drama [Club TV]";" ";"13:47:34";15 284;0,043 %;15 284;0,043 %;0,183 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"13:48:01";0;0,000 %;0;0,000 %;0,000 %
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"13:48:27";68 703;0,192 %;69 938;0,196 %;0,823 %
"AUTOPROMOCJA";"Canal+ Seriale [Canal+ Film 2]";" ";"13:50:41";0;0,000 %;0;0,000 %;0,000 %
"MAGAZYN WEDKARSKI KOLOWROTEK /MAG.POL./";"ADVENTURE";" ";"13:50:50";0;0,000 %;0;0,000 %;0,000 %
"BLOK SPONSORSKI";"ATM Rozrywka";"FEBRISAN";"13:51:17";66 436;0,186 %;66 436;0,186 %;0,799 %
"KUCHNIA FILMOWA /MAG. FILMOWY/";"Canal+ Seriale [Canal+ Film 2]";" ";"13:51:38";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC CBeebies";" ";"13:52:19";26 268;0,074 %;26 268;0,074 %;0,313 %
"PROMO";"AXN White [AXN Crime]";" ";"13:54:20";0;0,000 %;0;0,000 %;0,000 %
"PINKY DINKY DOO";"BBC CBeebies";" ";"13:54:45";26 268;0,074 %;26 268;0,074 %;0,311 %
"PROMO";"4FUN.TV [4fun.tv]";" ";"13:55:13";29 254;0,082 %;29 254;0,082 %;0,347 %
"4FUN NEWS /PROG.MUZ.INFO.POL./";"4FUN.TV [4fun.tv]";" ";"13:55:22";29 254;0,082 %;29 254;0,082 %;0,347 %
"ZAKLINACZE KONI /SER.DRA.KAN./";"AXN White [AXN Crime]";"HEARTLAND 516 - WILD HORSES";"13:55:52";544;0,002 %;14 764;0,041 %;0,006 %
"PROMO";"CBS Reality [Zone Reality]";" ";"13:56:19";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Action [Zone Romantica]";" ";"13:56:57";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Animal Planet HD";" ";"13:57:30";7 186;0,020 %;7 186;0,020 %;0,085 %
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"13:57:38";0;0,000 %;0;0,000 %;0,000 %
"AUTOPROMOCJA";"Canal+ Seriale [Canal+ Film 2]";" ";"13:58:20";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN Spin";" ";"13:58:43";34 207;0,096 %;34 207;0,096 %;0,403 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"13:58:52";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"13:58:53";25 432;0,071 %;33 741;0,094 %;0,300 %
"PROMO";"CBS Action [Zone Romantica]";" ";"13:59:12";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Brit [BBC Entertainment]";" ";"13:59:18";0;0,000 %;0;0,000 %;0,000 %
"ZA KULISAMI SERIALE /MAG.FILM./";"AXN Black [AXN Sci-Fi]";" ";"13:59:18";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Earth [BBC Knowledge]";" ";"13:59:21";3 586;0,010 %;3 586;0,010 %;0,042 %
"PROMO";"CBS Reality [Zone Reality]";" ";"13:59:34";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Animal Planet HD";" ";"13:59:46";0;0,000 %;0;0,000 %;0,000 %
"BLOK SPONSORSKI";"13 Ulica [13th Street Universal]";"WWW.OKACZKA.PL";"13:59:58";29 796;0,083 %;31 585;0,088 %;0,350 %
"COLUMBO /SER.KRYM.USA/";"13 Ulica [13th Street Universal]";"COLUMBO: REST IN PEACE MRS. COLUMBO";"14:00:06";42 988;0,120 %;107 991;0,302 %;0,492 %
"HITS 2000 /TELEDYSKI/";"4FUN HITS [mjuzik.tv]";" ";"14:00:08";2 331;0,007 %;37 855;0,106 %;0,027 %
"WIECZNIE ZYWI /PROG.MUZ.POL./";"4FUN.TV [4fun.tv]";" ";"14:00:08";2 975;0,008 %;105 911;0,296 %;0,034 %
"Z ARCHIWUM 997 /SER.DOK.POL./";"CI Polsat [Polsat Crime & Investigation Network]";"Z ARCHIWUM 997 S2 EP.2";"14:00:13";3 899;0,011 %;11 826;0,033 %;0,046 %
"SZKOLA BEZNADZIEJNYCH KIEROWCOW /SER.DOK.ANG./";"CBS Reality [Zone Reality]";"DANGEROUS DRIVERS' SCHOOL";"14:00:14";9 005;0,025 %;35 372;0,099 %;0,106 %
"PROMO";"CBS Drama [Club TV]";" ";"14:00:16";0;0,000 %;0;0,000 %;0,000 %
"DZIADEK Z PRZYPADKU /FILM SER.KOM.USA/";"Canal+ Seriale [Canal+ Film 2]";" ";"14:00:17";787;0,002 %;15 617;0,044 %;0,009 %
"SKORPION /SER.AKC.USA/";"AXN Black [AXN Sci-Fi]";"SCORPION 107 - FATHER'S DAY";"14:00:18";4 279;0,012 %;41 792;0,117 %;0,050 %
"SLODKIE DZIECINSTWO /SER.DOK.W.BRYT./";"Animal Planet HD";"TOO CUTE";"14:00:21";12 864;0,036 %;38 276;0,107 %;0,152 %
"AGENCI NCIS /SER.SENS.USA/";"CBS Action [Zone Romantica]";"NAVY NCIS";"14:00:22";136;0,000 %;2 813;0,008 %;0,002 %
"STAR WARS REBELIANCI /SER.ANIM.USA/";"AXN Spin";" ";"14:00:45";404;0,001 %;34 207;0,096 %;0,005 %
"LIFE BELOW ZERO";"BBC Earth [BBC Knowledge]";" ";"14:00:46";6 931;0,019 %;20 690;0,058 %;0,082 %
"BEVERLY HILLS 90210 /SER.USA/";"CBS Drama [Club TV]";"BEVERLY HILLS 90210";"14:01:06";1 668;0,005 %;23 991;0,067 %;0,020 %
"BLOK SPONSORSKI";"BBC Lifestyle";"TREFL";"14:01:15";0;0,000 %;0;0,000 %;0,000 %
"BLOK SPONSORSKI";"ATM Rozrywka";"FEBRISAN";"14:02:25";48 330;0,135 %;48 330;0,135 %;0,568 %
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"14:02:33";51 219;0,143 %;57 219;0,160 %;0,603 %
"PROMO";"Boomerang";" ";"14:02:38";6 310;0,018 %;6 310;0,018 %;0,074 %
"GANG OLSENA W AMOKU /FILM KOM.DAN./";"ATM Rozrywka";" ";"14:03:13";132 985;0,372 %;622 790;1,743 %;1,513 %
"AUTOPROMOCJA";"Canal+ Film [Canal+ Zolty]";" ";"14:03:18";0;0,000 %;0;0,000 %;0,000 %
"TV LOGO";"Canal+ Sport [Canal+ Niebieski]";" ";"14:03:22";25 883;0,072 %;25 883;0,072 %;0,306 %
"AUTOPROMOCJA";"Canal+ Sport [Canal+ Niebieski]";" ";"14:03:28";10 425;0,029 %;25 883;0,072 %;0,123 %
"AUTOPROMOCJA";"Canal+";" ";"14:04:09";7 270;0,020 %;20 955;0,059 %;0,086 %
"KUCHNIA FILMOWA /MAG. FILMOWY/";"Canal+ Film [Canal+ Zolty]";" ";"14:04:15";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Lifestyle";" ";"14:04:59";0;0,000 %;0;0,000 %;0,000 %
"EXTREME MAKEOVER HOLIDAY EDITION";"BBC Lifestyle";" ";"14:05:29";998;0,003 %;16 809;0,047 %;0,012 %
"TURBOKOZAK /MAG.POL./";"Canal+ Sport [Canal+ Niebieski]";" ";"14:05:30";5 938;0,017 %;10 313;0,029 %;0,071 %
"KUCHNIA FILMOWA /MAG. FILMOWY/";"Canal+";" ";"14:06:36";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"4FUN FIT&DANCE [TV.DISCO]";" ";"14:07:11";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC CBeebies";" ";"14:07:24";26 268;0,074 %;26 268;0,074 %;0,315 %
"PROMO";"Boomerang";" ";"14:07:50";6 310;0,018 %;6 310;0,018 %;0,075 %
"PROMO";"BBC Earth [BBC Knowledge]";" ";"14:07:53";8 105;0,023 %;8 105;0,023 %;0,097 %
